"gene","pathway"
"NAT2","DOID.10591"
"ADA","DOID.10591"
"CD24","DOID.10591"
"NR1H3","DOID.10591"
"PTPRU","DOID.10591"
"NAMPT","DOID.10591"
"CDKN1C","DOID.10591"
"FST","DOID.10591"
"TNFSF13B","DOID.10591"
"PLAC1","DOID.10591"
"CFTR","DOID.10591"
"CGB3","DOID.10591"
"UTS2","DOID.10591"
"ADAMTS13","DOID.10591"
"RASSF1","DOID.10591"
"SYNPO","DOID.10591"
"CHRNA7","DOID.10591"
"UCN3","DOID.10591"
"KIR3DL3","DOID.10591"
"NOSTRIN","DOID.10591"
"ADD1","DOID.10591"
"CLU","DOID.10591"
"CMA1","DOID.10591"
"CNR1","DOID.10591"
"ACVR1C","DOID.10591"
"COMT","DOID.10591"
"ADM","DOID.10591"
"ADORA2A","DOID.10591"
"CP","DOID.10591"
"ADORA2B","DOID.10591"
"CPB2","DOID.10591"
"CRH","DOID.10591"
"CRHR1","DOID.10591"
"CRHR2","DOID.10591"
"CRP","DOID.10591"
"MAPK14","DOID.10591"
"CSF1","DOID.10591"
"CSF2","DOID.10591"
"SERPINA12","DOID.10591"
"VCAN","DOID.10591"
"CST3","DOID.10591"
"CTLA4","DOID.10591"
"CTRL","DOID.10591"
"CX3CR1","DOID.10591"
"ADRB2","DOID.10591"
"ADRB3","DOID.10591"
"CYP11B2","DOID.10591"
"CYP17A1","DOID.10591"
"DCN","DOID.10591"
"ACE","DOID.10591"
"GADD45A","DOID.10591"
"AGER","DOID.10591"
"DRD4","DOID.10591"
"AGT","DOID.10591"
"HBEGF","DOID.10591"
"AGTR1","DOID.10591"
"AGTR2","DOID.10591"
"APLNR","DOID.10591"
"EDN1","DOID.10591"
"EDNRA","DOID.10591"
"NEWENTRY","DOID.10591"
"EFNA1","DOID.10591"
"AHSG","DOID.10591"
"ENG","DOID.10591"
"SLC29A1","DOID.10591"
"EPHX1","DOID.10591"
"ERCC2","DOID.10591"
"ESR1","DOID.10591"
"F2","DOID.10591"
"F2RL1","DOID.10591"
"F3","DOID.10591"
"F5","DOID.10591"
"F7","DOID.10591"
"FABP4","DOID.10591"
"STOX1","DOID.10591"
"FLT1","DOID.10591"
"DDAH2","DOID.10591"
"DDAH1","DOID.10591"
"FSHR","DOID.10591"
"SERBP1","DOID.10591"
"GH2","DOID.10591"
"NOX1","DOID.10591"
"GNB3","DOID.10591"
"ABO","DOID.10591"
"UTS2R","DOID.10591"
"ANGPT1","DOID.10591"
"ANGPT2","DOID.10591"
"GRK4","DOID.10591"
"GPX1","DOID.10591"
"GPX3","DOID.10591"
"GPX4","DOID.10591"
"CTNNA3","DOID.10591"
"LGALS13","DOID.10591"
"GSTM1","DOID.10591"
"GSTP1","DOID.10591"
"GSTT1","DOID.10591"
"ICOS","DOID.10591"
"SERPIND1","DOID.10591"
"HDC","DOID.10591"
"CFH","DOID.10591"
