"gene","pathway"
"A2M","OMIM:614036"
"AARS","OMIM:613287"
"AARS","OMIM:616339"
"AARS","ORPHA:228174"
"AARS","ORPHA:442835"
"ABAT","ORPHA:2066"
"ABAT","OMIM:613163"
"ABCA1","ORPHA:31150"
"ABCA1","OMIM:205400"
"ABCA1","OMIM:604091"
"ABCA1","ORPHA:425"
"ABCA3","OMIM:610921"
"ABCA3","ORPHA:440402"
"ABCA3","ORPHA:2032"
"ABCA3","ORPHA:70587"
"ABCB7","OMIM:301310"
"ABCB7","ORPHA:2802"
"ABCA4","OMIM:604116"
"ABCA4","ORPHA:791"
"ABCA4","OMIM:601718"
"ABCA4","ORPHA:1872"
"ABCA4","ORPHA:827"
"ABCA4","OMIM:248200"
"ABL1","ORPHA:99860"
"ABL1","OMIM:617602"
"ABL1","ORPHA:99861"
"ABL1","ORPHA:521"
"ACACA","OMIM:613933"
"ACADL","ORPHA:99900"
"ACADM","ORPHA:42"
"ACADM","OMIM:201450"
"ACADS","OMIM:201470"
"ACADS","ORPHA:26792"
"ACADSB","OMIM:610006"
"ACADSB","ORPHA:79157"
"ACADVL","ORPHA:26793"
"ACADVL","OMIM:201475"
"ACAT1","ORPHA:134"
"ACAT1","OMIM:203750"
"ACAT2","OMIM:614055"
"ACO2","ORPHA:313850"
"ACO2","OMIM:614559"
"ACO2","ORPHA:98676"
"ACO2","OMIM:616289"
"ACOX1","OMIM:264470"
"ACOX1","ORPHA:2971"
"ACP2","OMIM:200950"
"ACP5","OMIM:607944"
"ACP5","ORPHA:1855"
"ACTA1","ORPHA:97244"
"ACTA1","ORPHA:2020"
"ACTA1","ORPHA:447977"
"ACTA1","ORPHA:171430"
"ACTA1","ORPHA:98904"
"ACTA1","ORPHA:171433"
"ACTA1","OMIM:161800"
"ACTA1","ORPHA:97240"
"ACTA1","OMIM:255310"
"ACTA1","OMIM:616852"
"ACTA1","ORPHA:171436"
"ACTA1","ORPHA:171439"
"ACTA2","ORPHA:91387"
"ACTA2","ORPHA:2573"
"ACTA2","OMIM:611788"
"ACTA2","OMIM:613834"
"ACTA2","OMIM:614042"
"ACTA2","ORPHA:404463"
"ACTB","OMIM:608578"
"ACTB","ORPHA:64755"
"ACTB","OMIM:607371"
"ACTB","OMIM:243310"
"ACTB","ORPHA:79107"
"ACTB","ORPHA:2995"
"ACTC1","OMIM:613424"
"ACTC1","ORPHA:54260"
"ACTC1","OMIM:612098"
"ACTC1","ORPHA:99103"
"ACTC1","ORPHA:154"
"ACTC1","OMIM:612794"
"ACTG1","OMIM:604717"
"ACTG1","ORPHA:98944"
"ACTG1","ORPHA:90635"
"ACTG1","ORPHA:2995"
"ACTG1","OMIM:614583"
"ACTG1","ORPHA:98942"
"ACTG2","ORPHA:2604"
"ACTG2","ORPHA:2241"
"ACTG2","ORPHA:104077"
"ACTN4","ORPHA:93213"
"ACTN4","OMIM:603278"
"ACTN1","OMIM:615193"
"ACTN1","ORPHA:140957"
"ACTN2","OMIM:612158"
"ACTN2","ORPHA:154"
"ACVR1","OMIM:135100"
"ACVR1","ORPHA:337"
"ACVR2B","OMIM:613751"
"ACVR2B","ORPHA:157769"
"ACVRL1","ORPHA:774"
"ACVRL1","ORPHA:275777"
"ACVRL1","OMIM:600376"
"ACY1","ORPHA:137754"
"ACY1","OMIM:609924"
"ADA","ORPHA:39041"
"ADA","OMIM:102700"
"ADA","ORPHA:277"
"ADAM10","ORPHA:178307"
"ADAM10","OMIM:615537"
"ADAR","ORPHA:41"
"ADAR","OMIM:615010"
"ADAR","ORPHA:225154"
"ADAR","OMIM:127400"
"ADAR","ORPHA:51"
"ADCY1","ORPHA:90636"
"ADCY1","OMIM:610154"
"ADCY5","ORPHA:324588"
"ADCY5","OMIM:606703"
"ADCY5","ORPHA:1429"
"ADCY6","ORPHA:2680"
"ADCY6","OMIM:616287"
"ADD3","ORPHA:210141"
"ADD3","OMIM:617008"
"ADK","ORPHA:289290"
"ADK","OMIM:614300"
"ADRA2B","OMIM:607876"
"ADRA2B","ORPHA:86814"
"ADSL","OMIM:103050"
"ADSL","ORPHA:46"
"AFP","OMIM:615969"
"AFP","ORPHA:168615"
"AFP","ORPHA:168612"
"AGA","OMIM:208400"
"AGA","ORPHA:93"
"ACAN","OMIM:608361"
"ACAN","OMIM:612813"
"ACAN","ORPHA:171866"
"ACAN","ORPHA:251262"
"ACAN","ORPHA:93283"
"ACAN","OMIM:165800"
"ACAN","ORPHA:435804"
"AGL","OMIM:232400"
"AGL","ORPHA:366"
"JAG1","ORPHA:3303"
"JAG1","OMIM:187500"
"JAG1","ORPHA:261619"
"JAG1","ORPHA:261600"
"JAG1","OMIM:118450"
"AGT","ORPHA:97369"
"AGT","OMIM:267430"
"AGTR1","ORPHA:97369"
"AGTR1","OMIM:267430"
"AGTR2","ORPHA:777"
"AGXT","OMIM:259900"
"AGXT","ORPHA:93598"
"NR0B1","OMIM:300200"
"NR0B1","ORPHA:95702"
"NR0B1","ORPHA:251510"
"NR0B1","ORPHA:242"
"NR0B1","OMIM:300018"
"NR0B1","ORPHA:393"
"AHCY","OMIM:613752"
"AHCY","ORPHA:88618"
"AHSG","OMIM:203650"
"AHSG","ORPHA:2850"
"AK1","ORPHA:86817"
"AK1","OMIM:612631"
"AK2","ORPHA:33355"
"AK2","OMIM:267500"
"AKT1","ORPHA:744"
"AKT1","OMIM:114500"
"AKT1","OMIM:114480"
"AKT1","OMIM:167000"
"AKT1","OMIM:615109"
"AKT1","ORPHA:201"
"AKT1","OMIM:176920"
"AKT2","OMIM:125853"
"AKT2","ORPHA:293964"
"AKT2","OMIM:240900"
"AKT2","ORPHA:79085"
"ALAD","ORPHA:100924"
"ALAD","OMIM:612740"
"ALAS2","ORPHA:75563"
