model,classifier,fold,F1,Precision,Recall,Specificity,Accuracy,AUC
non_graph,SVM,1,0.609,0.609,0.609,0.625,0.617,0.617
non_graph,SVM,2,0.642,0.567,0.739,0.458,0.596,0.599
non_graph,SVM,3,0.652,0.652,0.652,0.667,0.66,0.659
non_graph,SVM,4,0.627,0.571,0.696,0.5,0.596,0.598
non_graph,SVM,5,0.5,0.524,0.478,0.583,0.532,0.531
non_graph,SVM,6,0.667,0.64,0.696,0.625,0.66,0.66
non_graph,SVM,7,0.609,0.609,0.609,0.625,0.617,0.617
non_graph,SVM,8,0.4,0.471,0.348,0.625,0.489,0.486
non_graph,SVM,9,0.609,0.609,0.609,0.625,0.617,0.617
non_graph,SVM,10,0.615,0.552,0.696,0.458,0.574,0.577
non_graph,LR,1,0.558,0.6,0.522,0.667,0.596,0.594
non_graph,LR,2,0.612,0.577,0.652,0.542,0.596,0.597
non_graph,LR,3,0.625,0.6,0.652,0.583,0.617,0.618
non_graph,LR,4,0.68,0.63,0.739,0.583,0.66,0.661
non_graph,LR,5,0.533,0.545,0.522,0.583,0.553,0.553
non_graph,LR,6,0.625,0.6,0.652,0.583,0.617,0.618
non_graph,LR,7,0.571,0.632,0.522,0.708,0.617,0.615
non_graph,LR,8,0.524,0.579,0.478,0.667,0.574,0.572
non_graph,LR,9,0.591,0.619,0.565,0.667,0.617,0.616
non_graph,LR,10,0.588,0.536,0.652,0.458,0.553,0.555
PPI,SVM,1,0.612,0.577,0.652,0.542,0.596,0.597
PPI,SVM,2,0.279,0.3,0.261,0.417,0.34,0.339
PPI,SVM,3,0.531,0.5,0.565,0.458,0.511,0.512
PPI,SVM,4,0.588,0.536,0.652,0.458,0.553,0.555
PPI,SVM,5,0.657,0.489,1.0,0.0,0.489,0.5
PPI,SVM,6,0.558,0.6,0.522,0.667,0.596,0.594
PPI,SVM,7,0.612,0.577,0.652,0.542,0.596,0.597
PPI,SVM,8,0.478,0.478,0.478,0.5,0.489,0.489
PPI,SVM,9,0.588,0.536,0.652,0.458,0.553,0.555
PPI,SVM,10,0.604,0.533,0.696,0.417,0.553,0.556
PPI,LR,1,0.489,0.5,0.478,0.542,0.511,0.51
PPI,LR,2,0.431,0.393,0.478,0.292,0.383,0.385
PPI,LR,3,0.549,0.5,0.609,0.417,0.511,0.513
PPI,LR,4,0.56,0.519,0.609,0.458,0.532,0.534
PPI,LR,5,0.5,0.448,0.565,0.333,0.447,0.449
PPI,LR,6,0.591,0.619,0.565,0.667,0.617,0.616
PPI,LR,7,0.511,0.5,0.522,0.5,0.511,0.511
PPI,LR,8,0.468,0.458,0.478,0.458,0.468,0.468
PPI,LR,9,0.583,0.56,0.609,0.542,0.574,0.575
PPI,LR,10,0.625,0.6,0.652,0.583,0.617,0.618
LIONESS,SVM,1,0.612,0.577,0.652,0.542,0.596,0.597
